Name,Description,Price
Eggplant Curry,Roasted eggplant (Brinjal) stars in this strong-flavoured curry.,$16.00
Baigan Bharta,Roasted eggplant mash cooked with spices.,$16.00
Nav Ratan Korma,Rich luxurious curry dish made with mixed vegetables.,$16.00
Vegetable Korma,"Loaded with potatoes, tomatoes, carrots, peas, and green beans. Vegan.",$16.00
Alu Baingan,Made with diced potatoes and eggplant that have been simmered in a spiced onion tomato.,$16.00
Vegetables Kolhapur,Coconut-based spicy curry with vegetables.,$16.00
Malai Kofta Jain Style,No description,$16.00
Poondu Kulambu,Garlic. Gravy made with a tamarind based broth and loaded with lots of garlic.,$16.00
Ennai Kathrika Kulambu,Eggplant. Gravy in which brinjal are stuffed with flavorful fresh ground masalas and sauteed in oil.,$16.00
Vendaikai Kulambu,Okra. Tender okra. Lady's finger is simmered in tangy tamarind gravy.,$14.95
Murungaikai Kulambu,Drumstick. A spicy and tangy tamarind based curry made with drumsticks.,$16.00
Chennal Thali,"Idly, vada, dosa, uthappam, sambar, chutney, badam halwa.",$21.95
South Indian Thali,"Sambar, rasam, kulambu, kootu avial, poriyal, pickle, yogurt, pappadam, rice, semiya payasam.",$21.95
North Indian Thali,"Chole, daal, any paneer - rice, roti, pickle, raita, kheer, pappad.",$21.95
Chole Bature,Large puffed bread with spicy chickpeas.,$16.00
Chole Poori,Large puffed bread with spicy chickpeas.,$16.00
Poori Bhaji,"Spiced aloo or sabji or bhaji with hints of coriander, ginger and other Indian spices.",$14.95
Poori Kurma,No description,$14.95
Uppma,"Semolina with onion, cashews, chilli with Indian spices.",$14.95
Pongal,"Rice, lentil, spices, nuts, and butter. Served with coconut chutney and sambar.",$14.95
Avial,"Mixed vegetables cooked with coconut milk, yogurt and spices.",$14.95
Kutchu Chilli Paratha,"Indian layerd bread chopped and cooked with Chineese sauce, ginger, and garlic.",$14.95
Paneer Chettinad,No description,$16.00
Mix Vegetables Chettinad,No description,$16.00
Gobi Chettinad,No description,$16.00
Soya Chettinad,No description,$16.00
Roti,No description,$3.95
Paratha,Fried unleavened bread.,$7.45
Poori,Puffed up fried bread.,$6.00
Batura,No description,$6.00
Alu Paratha,Onion paratha.,$8.95
Onion Paratha,No description,$8.95
Gobi Paratha,Onion.,$8.95
Chilli Kuthu Paratha,No description,$8.95
Cheese Paratha,No description,$8.95
Paneer Paratha,No description,$8.95
Dum Biryani,Goodness of rice and vegetables that comes in layers.,$14.95
Vegetables Pullav,"Basmati rice, vegetables, and spices.",$12.95
Jeera Rice,No description,$12.95
Lemon Rice,Riced cooked with lemon juice and spices.,$12.95
Tamarind Rice,Rice cooked with tamarind and spices.,$12.95
Vangi Bhath,"Rice, lentil and eggplant cooked with spices.",$12.95
B.B.B Bishibila Bath,No description,$12.95
Tomato Rice,Rice cooked with tomato and spices.,$12.95
Coconut Rice,Rice cooked with ground coconut and nuts.,$12.95
Yogurt Rice,Rice smothered with yogurt.,$12.95
Gulab Jamun,No description,$6.00
Rasmalai,No description,$6.00
Kheer,No description,$6.00
Semiya Payasam,No description,$6.00
Badam Halwa,No description,$7.45
Kulfi Malai,No description,$6.00
Halwa with Vanila Ice Cream,No description,$8.95
Soda,Choice of soda.,$2.95
Water,No description,$2.95
Lassi,Choice of flavor.,$6.00
Madras Coffee Hot,Hot drink.,$2.95
Masala Tea Hot,Hot drink.,$2.95
Herbal Tea Hot,Hot drink.,$2.95
Shake,Choice of flavor.,$6.00
Fresh Lime Soda,Made with Club soda.,$7.45
Masala Soda,Made with Thums-up.,$7.45
