Name,Description_Village,Price_Village,Description_Chennai_menu_items.csv,Price_Chennai_menu_items.csv,Price_Difference_Chennai_menu_items.csv
Spinach Masala Dosa,Crepe cooked with spinach and potato spices.,14.95,Crepe crooked with spinach and potato masala.,11.45,-3.5
Cheese Masala Dosa,Crepe cooked with cheddar cheese.,13.75,Cheese crepe with potato masala.,11.45,-2.3000000000000007
Spring Masala Dosa,"Crepe cooked with cabbage, onions, ball pepper, and potato.",14.95,"Spicy crepe with onion, tomato, chili and potato masala.",11.45,-3.5
Pondicherry Masala Dosa,Crepe rolled and filled with potato and spices.,14.95,Spicy crepe rolled with potato masala.,11.45,-3.5
Onion Rava Masala Dosa,Semolina crepe with mashed spiced potato.,14.95,Rava dosa with mild spicy mashed potato filling.,12.95,-2.0
Cheese Onion Rava Masala Dosa,"Rava Dosa filled with cheese, onions and seasoned potato filling.",16.0,Cheese and rava with raw onion and potato masala.,14.2,-1.8000000000000007
Chana Masala,"Chickpea, onion and masala spices.",16.0,"Chickpeas, onions and cilantro.",12.95,-3.0500000000000007
Palak Paneer,Spinach and homemade cheese cooked with spices.,16.0,Savory creamed spinach with fresh cheese.,14.2,-1.8000000000000007
Paneer Tikka Masala,Cubes of paneer and veggies marinated with yogurt and spices.,16.0,Paneer cooked with rich and creamy sauce.,14.2,-1.8000000000000007
Malai Kofta,"Paneer dumplings served with rich, creamy, and delicious gravy.",16.0,Vegetable fritters in a rich and creamy sauce.,12.95,-3.0500000000000007
Paneer Bhurji,"Scrambled paneer or Cottage cheese with a spiced mixture made of onions, ginger garlic paste.",16.0,Grated paneer cooked with sauteed onion and peppers in light creamy tomato sauce.,14.2,-1.8000000000000007
Bhindi Masala,"Made with okra, whole and ground spices, onions and tomatoes.",16.0,Spicy okra sauteed with tomato and onions.,11.95,-4.050000000000001
Alu Baingan,Made with diced potatoes and eggplant that have been simmered in a spiced onion tomato.,16.0,"Potato and eggplant with tomato, onion and spices.",12.95,-3.0500000000000007
Chole Poori,Large puffed bread with spicy chickpeas.,16.0,Large puffy bread served with spicy chickpeas.,13.95,-2.0500000000000007
Avial,"Mixed vegetables cooked with coconut milk, yogurt and spices.",14.95,"Mix vegetables cooked with coconut milk, yogurt, Indian spices and herbs.",12.95,-2.0
Paratha,Fried unleavened bread.,7.45,Flaky griddle bread.,6.95,-0.5
Poori,Puffed up fried bread.,6.0,"2 deep fried unleavened puffy bread, spice free.",7.45,1.4500000000000002
Alu Paratha,Onion paratha.,8.95,Flaky griddle bread stuffed with seasoned mashed potato.,7.45,-1.4999999999999991
Gobi Paratha,Onion.,8.95,Flaky griddle bread stuffed with cauliflower.,7.45,-1.4999999999999991
Lemon Rice,Riced cooked with lemon juice and spices.,12.95,Rice cooked with lemon juice and mild spices.,8.95,-4.0
Tamarind Rice,Rice cooked with tamarind and spices.,12.95,South Indian rice cooked with tamarind and spices.,8.95,-4.0
Tomato Rice,Rice cooked with tomato and spices.,12.95,Special rice cooked with tomato and spices.,8.95,-4.0
Coconut Rice,Rice cooked with ground coconut and nuts.,12.95,Rice cooked with coconut and nuts.,8.95,-4.0
Yogurt Rice,Rice smothered with yogurt.,12.95,Rice cooked with yogurt.,7.95,-4.999999999999999
Gulab Jamun,No description,6.0,Indian flan with sweet syrup.,5.45,-0.5499999999999998
Rasmalai,No description,6.0,Sweet cheese cooked in syrup and served with nuts and cardamom cream.,5.45,-0.5499999999999998
Badam Halwa,No description,7.45,Sweet almond paste mixed with ghee and saffron.,5.45,-2.0
Soda,Choice of soda.,2.95,"Coke, Diet Coke, Sprite, Gingerale, club soda.",1.95,-1.0000000000000002
Lassi,Choice of flavor.,6.0,"Choice of sweet, mango or salty.",5.45,-0.5499999999999998
Shake,Choice of flavor.,6.0,"Mango, vanilla.",6.95,0.9500000000000002
